tree.species;species.code.bodelschwingh;cost.level;a;b;c;max
oak;110;1;39190,4735;-2,924166415;17,4613075;60
beech;211;1;38266,53014;-2,913467162;17,43521022;60
spruce;511;1;18763,51871;-2,579633086;15,04853019;60
pine;711;1;55441,96769;-2,970247263;13,94025479;60
oak;110;2;168532,5949;-3,399751052;22,35388944;70
beech;211;2;161486,7604;-3,381973141;22,33418795;70
spruce;511;2;84412,45077;-3,104409684;22,24755187;70
pine;711;2;77812,87835;-3,048801418;20,58470814;70
oak;110;3;168532,5949;-3,399751052;39;80
beech;211;3;161486,7604;-3,381973141;39;80
spruce;511;3;84412,45077;-3,104409684;35;80
pine;711;3;77812,87835;-3,048801418;33;80
