"";"tree.species";"value.level";"logging.method";"A";"tw";"zm";"species.code";"min.dq";"max.dq";"assortment"
"1";"birch";1;"harvester";0,558819781;29,02651915;0,022655009;410;10;40;"stem.wood"
"2";"birch";1;"combined";0,444785215;26,07927557;0,023763089;410;10;60;"stem.wood"
"3";"birch";1;"manually";0,44226419;25,37131528;0,022742811;410;10;60;"stem.wood"
"4";"birch";2;"harvester";0,516258934;30,14543926;0,018065778;410;10;40;"stem.wood"
"5";"birch";2;"combined";0,391550541;26,72182592;0,019558579;410;10;60;"stem.wood"
"6";"birch";2;"manually";0,390150409;25,53527099;0,018153177;410;10;60;"stem.wood"
"7";"beech";1;"harvester";0,818787484;22,86494897;0,036902078;211;10;40;"stem.wood"
"8";"beech";1;"combined";0,674584861;21,16528195;0,040373914;211;10;80;"stem.wood"
"9";"beech";1;"manually";0,670083928;20,45323071;0,041024743;211;10;80;"stem.wood"
"10";"beech";2;"harvester";0,715121648;22,72730086;0,031174895;211;10;40;"stem.wood"
"11";"beech";2;"combined";0,604251576;20,73363306;0,033255868;211;10;80;"stem.wood"
"12";"beech";2;"manually";0,599731749;20,12338181;0,040371808;211;10;80;"stem.wood"
"13";"beech";3;"harvester";0,612967167;25,12058199;0,02207541;211;10;40;"stem.wood"
"14";"beech";3;"combined";0,480570301;22,47555734;0,025194187;211;10;80;"stem.wood"
"15";"beech";3;"manually";0,484067305;21,90367593;0,025508206;211;10;80;"stem.wood"
"16";"douglas.fir";1;"harvester";0,966935181;14,63021348;0,057664429;NA;NA;NA;"stem.wood"
"17";"douglas.fir";1;"combined";0,961346536;14,56790577;0,059522686;NA;NA;NA;"stem.wood"
"18";"douglas.fir";1;"manually";0,951046256;12,91335126;0,059721965;NA;NA;NA;"stem.wood"
"19";"douglas.fir";2;"harvester";0,930411387;14,72180506;0,055462498;NA;NA;NA;"stem.wood"
"20";"douglas.fir";2;"combined";0,932890835;14,74766118;0,053939661;NA;NA;NA;"stem.wood"
"21";"douglas.fir";2;"manually";0,932500439;14,37127765;0,057160715;NA;NA;NA;"stem.wood"
"22";"douglas.fir";3;"harvester";0,902879218;14,83852557;0,043065124;NA;NA;NA;"stem.wood"
"23";"douglas.fir";3;"combined";0,897993964;14,85304928;0,042791999;NA;NA;NA;"stem.wood"
