tree.species;species.code;value.level;process.type;A;tw;zm;min.dq;max.dq
birch;410;1;harvester;0,5776705;12,2639417;0,04193343;10;40
birch;410;1;combined;0,5702768;12,2088678;0,04156681;10;60
birch;410;1;manually;0,573595;15,1431488;0,04044717;10;60
birch;410;2;harvester;0,5252724;12,3179375;0,03338115;10;40
birch;410;2;combined;0,5274253;12,2236972;0,03152165;10;60
birch;410;2;manually;0,5256082;15,2556765;0,03734649;10;60
birch;410;3;harvester;0,4913572;12,4797996;0,03492558;10;40
birch;410;3;combined;0,5350244;12,7511027;0,02665853;10;60
birch;410;3;manually;0,5364081;16,1779006;0,03059352;10;60
beech;211;1;harvester;0,7625417;9,8306435;0,04239875;10;40
beech;211;1;combined;0,7062254;9,740797;0,05112335;10;80
beech;211;1;manually;0,7057791;12,2749078;0,04844596;10;80
beech;211;2;harvester;0,6610926;11,6482617;0,03767692;10;40
beech;211;2;combined;0,6726495;11,6433271;0,03492402;10;80
beech;211;2;manually;0,6739224;14,2453023;0,03695302;10;80
beech;211;3;harvester;0,6128808;10,3901686;0,03688929;10;40
beech;211;3;combined;0,6030027;10,2296168;0,0355524;10;80
beech;211;3;manually;0,6033879;13,1974162;0,03583061;10;80
Douglas fir;611;1;harvester;0,7176391;4,1377725;0,0577431;10;70
Douglas fir;611;1;combined;0,7232401;1,7628758;0,04319821;10;70
Douglas fir;611;1;manually;0,728432;8,61759;0,04725319;10;70
Douglas fir;611;2;harvester;0,6888207;8,638082;0,18305437;10;70
Douglas fir;611;2;combined;0,6871095;8,6733417;0,18983024;10;70
Douglas fir;611;2;manually;0,6849834;9,3870753;0,06116458;10;70
Douglas fir;611;3;harvester;0,6509299;8,3722407;0,17817311;10;70
Douglas fir;611;3;combined;0,6469724;8,4265208;0,18459293;10;70
Douglas fir;611;3;manually;0,6370075;9,6346529;0,06074458;10;70
oak;110;1;harvester;0,6197287;12,1473912;0,04522256;10;40
oak;110;1;combined;0,6141274;12,0640487;0,04492338;10;80
oak;110;1;manually;0,6168523;14,5324684;0,04168142;10;80
oak;110;2;harvester;0,6135184;12,8308135;0,04216551;10;40
oak;110;2;combined;0,6083431;12,7615073;0,04047726;10;80
oak;110;2;manually;0,6103365;15,105717;0,03846928;10;80
oak;110;3;harvester;0,5176091;11,8435944;0,04759245;10;40
oak;110;3;combined;0,5470997;11,8082936;0,03535985;10;80
oak;110;3;manually;0,5553994;16,3037931;0,03028166;10;80
alder;421;1;harvester;0,6434744;12,4541031;0,04803768;10;40
alder;421;1;combined;0,6405298;12,4365574;0,04731904;10;60
alder;421;1;manually;0,6367045;11,8670277;0,04507256;10;60
alder;421;2;harvester;0,6407029;13,4496423;0,03953155;10;40
alder;421;2;combined;0,6226826;13,2136642;0,03969056;10;60
alder;421;2;manually;0,6195;12,7734754;0,03728026;10;60
alder;421;3;harvester;0,6244018;13,4920308;0,03683461;10;40
alder;421;3;combined;0,623508;13,4238453;0,03379077;10;60
alder;421;3;manually;0,6281486;13,4258399;0,029051;10;60
ash;311;1;harvester;0,6614401;11,1852816;0,04323738;10;40
ash;311;1;combined;0,6239235;11,0777389;0,04992046;10;70
ash;311;1;manually;0,6167717;10,6626526;0,05950796;10;70
ash;311;2;harvester;0,6408867;10,8661828;0,05614419;10;40
ash;311;2;combined;0,6266419;10,8055804;0,05908707;10;70
ash;311;2;manually;0,6210743;11,7617001;0,06939949;10;70
ash;311;3;harvester;0,6538241;11,7524291;0,04412719;10;40
ash;311;3;combined;0,6249056;11,5350747;0,04753753;10;70
ash;311;3;manually;0,6218174;12,7018514;0,04676186;10;70
spruce;511;1;harvester;0,7662349;5,1901692;0,06858171;10;70
spruce;511;1;combined;0,7690526;4,7448702;0,0632283;10;70
spruce;511;1;manually;0,7752995;8,0568405;0,05630177;10;70
spruce;511;2;harvester;0,7670622;0,8821406;0,03497205;10;70
spruce;511;2;combined;0,7631972;1,2926277;0,03656748;10;70
spruce;511;2;manually;0,7544962;8,4004762;0,05276758;10;70
spruce;511;3;harvester;0,7463007;4,2724227;0,04813336;10;70
spruce;511;3;combined;0,747129;3,8912026;0,04572412;10;70
spruce;511;3;manually;0,7509678;8,2801176;0,0446004;10;70
pine;711;1;harvester;0,7574874;4,9171977;0,04169839;10;70
pine;711;1;combined;0,757565;4,8299942;0,04122414;10;70
pine;711;1;manually;0,7562777;9,9083342;0,04473185;10;70
pine;711;2;harvester;0,7670939;6,0479902;0,03870637;10;70
pine;711;2;combined;0,7628124;6,2423089;0,03994725;10;70
pine;711;2;manually;0,7598007;10,7811475;0,04414326;10;70
pine;711;3;harvester;0,7422229;6,1100998;0,03111078;10;70
pine;711;3;combined;0,7308853;6,0227557;0,03177744;10;70
pine;711;3;manually;0,7202234;10,8058841;0,03558816;10;70
larch;811;1;harvester;0,6614784;9,570473;0,06222422;10;70
larch;811;1;combined;0,6638798;9,5448688;0,06170904;10;70
larch;811;1;manually;0,6690157;9,8004832;0,05523229;10;70
larch;811;2;harvester;0,6277149;8,9435517;0,06385938;10;70
larch;811;2;combined;0,6298093;8,9275883;0,0635384;10;70
larch;811;2;manually;0,6341434;9,1782595;0,05364407;10;70
larch;811;3;harvester;0,6203442;9,5117528;0,06186117;10;70
larch;811;3;combined;0,6177833;9,5127646;0,06128263;10;70
larch;811;3;manually;0,6131913;9,9452425;0,0508054;10;70
poplar;430;1;harvester;0,6469048;10,1803635;0,05949284;10;40
poplar;430;1;combined;0,6252492;10,1839395;0,06654811;10;70
poplar;430;1;manually;0,6269047;12,2252965;0,0552973;10;70
poplar;430;2;harvester;0,6333101;10,2185021;0,05639148;10;40
poplar;430;2;combined;0,618521;10,1637304;0,06002507;10;70
poplar;430;2;manually;0,6163278;12,0728568;0,05319705;10;70
poplar;430;3;harvester;0,5892146;10,2324978;0,04466236;10;40
poplar;430;3;combined;0,5779034;10,060991;0,04427695;10;70
poplar;430;3;manually;0,5777455;12,3346813;0,04149891;10;70
