baumart;wertklasse;tarif;A;tw;zm
Birke;1;hochmechanisiert;0,558819781;29,02651915;0,022655009
Birke;1;kombiniert;0,444785215;26,07927557;0,023763089
Birke;1;motormanuell;0,44226419;25,37131528;0,022742811
Birke;2;hochmechanisiert;0,516258934;30,14543926;0,018065778
Birke;2;kombiniert;0,391550541;26,72182592;0,019558579
Birke;2;motormanuell;0,390150409;25,53527099;0,018153177
Buche;1;hochmechanisiert;0,818787484;22,86494897;0,036902078
Buche;1;kombiniert;0,674584861;21,16528195;0,040373914
Buche;1;motormanuell;0,670083928;20,45323071;0,041024743
Buche;2;hochmechanisiert;0,715121648;22,72730086;0,031174895
Buche;2;kombiniert;0,604251576;20,73363306;0,033255868
Buche;2;motormanuell;0,599731749;20,12338181;0,040371808
Buche;3;hochmechanisiert;0,612967167;25,12058199;0,02207541
Buche;3;kombiniert;0,480570301;22,47555734;0,025194187
Buche;3;motormanuell;0,484067305;21,90367593;0,025508206
Douglasie;1;hochmechanisiert;0,966935181;14,63021348;0,057664429
Douglasie;1;kombiniert;0,961346536;14,56790577;0,059522686
Douglasie;1;motormanuell;0,951046256;12,91335126;0,059721965
Douglasie;2;hochmechanisiert;0,930411387;14,72180506;0,055462498
Douglasie;2;kombiniert;0,932890835;14,74766118;0,053939661
Douglasie;2;motormanuell;0,932500439;14,37127765;0,057160715
Douglasie;3;hochmechanisiert;0,902879218;14,83852557;0,043065124
Douglasie;3;kombiniert;0,897993964;14,85304928;0,042791999
Douglasie;3;motormanuell;0,881510103;14,35610229;0,051636829
Eiche;1;hochmechanisiert;0,850971368;23,75794447;0,041683451
Eiche;1;kombiniert;0,741394051;22,34076013;0,047503808
Eiche;1;motormanuell;0,735536198;21,47388149;0,053020064
Eiche;2;hochmechanisiert;0,791391543;23,60621778;0,037222831
Eiche;2;kombiniert;0,689946444;22,12744278;0,045796905
Eiche;2;motormanuell;0,681293929;21,32226192;0,052332009
Eiche;3;hochmechanisiert;0,705173409;25,97698005;0,027814194
Eiche;3;kombiniert;0,519516085;22,42270573;0,035768094
Eiche;3;motormanuell;0,513673773;21,29303922;0,036261266
Erle;1;hochmechanisiert;0,768697714;26,97947022;0,033618713
Erle;1;kombiniert;0,664452321;25,07521156;0,035440165
Erle;1;motormanuell;0,66331522;24,49263546;0,035882014
Erle;2;hochmechanisiert;0,760364692;27,66129007;0,031005747
Erle;2;kombiniert;0,688065673;26,30915707;0,032901535
Erle;2;motormanuell;0,690117057;25,83788656;0,033086729
Erle;3;hochmechanisiert;0,743689375;29,51621079;0,025670629
Erle;3;kombiniert;0,610130792;26,7886328;0,02714522
Erle;3;motormanuell;0,598360649;26,16378545;0,026887676
Esche;1;hochmechanisiert;0,847574992;25,87712155;0,03577055
Esche;1;kombiniert;0,75172031;24,45301265;0,040051021
Esche;1;motormanuell;0,740643716;23,99776347;0,045493609
Esche;2;hochmechanisiert;0,779272407;26,50276716;0,03355962
Esche;2;kombiniert;0,733233478;25,55685579;0,035342867
Esche;2;motormanuell;0,735328559;25,14236449;0,035751193
Esche;3;hochmechanisiert;0,806353252;28,69193878;0,027534277
Esche;3;kombiniert;0,615914725;25,62288939;0,02913507
Esche;3;motormanuell;0,614889268;25,04832905;0,030749277
Fichte;1;hochmechanisiert;0,941137147;13,98821545;0,060435608
Fichte;1;kombiniert;0,95862575;14,22647151;0,061165212
Fichte;1;motormanuell;0,976535784;9,07743028;0,059330756
Fichte;2;hochmechanisiert;0,901699424;14,06329278;0,055285013
Fichte;2;kombiniert;0,914376737;14,17360247;0,055729919
Fichte;2;motormanuell;0,937012394;10,50758148;0,05635716
Fichte;3;hochmechanisiert;0,841796893;13,90226766;0,047018695
Fichte;3;kombiniert;0,841133897;13,83548848;0,048073241
Fichte;3;motormanuell;0,832282908;12,9809806;0,049521425
Kiefer;1;hochmechanisiert;0,922405261;14,760662;0,056967821
Kiefer;1;kombiniert;0,930661329;14,76955945;0,056363863
Kiefer;1;motormanuell;0,931634536;14,67086039;0,063155865
Kiefer;2;hochmechanisiert;0,892685856;15,09763748;0,05198159
Kiefer;2;kombiniert;0,890572719;15,20703277;0,054634348
Kiefer;2;motormanuell;0,893528275;15,73452219;0,06140333
Kiefer;3;hochmechanisiert;0,765816438;14,48428402;0,058222364
Kiefer;3;kombiniert;0,784325141;14,77988888;0,059147787
Kiefer;3;motormanuell;0,804262718;16,06291559;0,064316842
Laerche;1;hochmechanisiert;0,949144211;14,84532987;0,063503859
Laerche;1;kombiniert;0,947475401;14,89527485;0,064717873
Laerche;1;motormanuell;0,950080016;14,91007206;0,06031272
Laerche;2;hochmechanisiert;0,901193752;15,23034779;0,064422017
Laerche;2;kombiniert;0,906979658;15,30988666;0,065169865
Laerche;2;motormanuell;0,906599598;15,27800811;0,068267303
Laerche;3;hochmechanisiert;0,824742607;15,8898417;0,039447762
Laerche;3;kombiniert;0,830760499;15,9578171;0,03871375
Laerche;3;motormanuell;0,823018685;16,63691053;0,043449511
Pappel;1;hochmechanisiert;0,891811807;25,33061338;0,037846619
Pappel;1;kombiniert;0,946735106;25,39109726;0,039423444
Pappel;1;motormanuell;0,948726011;24,67837942;0,038443942
Pappel;2;hochmechanisiert;0,838391175;25,02935794;0,034733439
Pappel;2;kombiniert;0,834383694;24,63224567;0,035684824
Pappel;2;motormanuell;0,824658449;23,35016137;0,036334399
Pappel;3;hochmechanisiert;0,68233337;26,18099016;0,02520879
Pappel;3;kombiniert;0,562042407;23,8827959;0,02317995
Pappel;3;motormanuell;0,555402152;22,84051066;0,024247315
